>YA4_308
2169	2519	-	3	1.240771	I:	D:
2612	3133	-	2	1.277423	I:	D:
3206	3535	-	2	1.323201	I:	D:
3574	3873	-	1	1.330187	I:	D:
>YA4_2177
1	447	+	1	1.303522	I:	D:
542	1744	+	2	1.282441	I:	D:
1747	3093	+	1	1.259622	I:	D:
3110	3595	+	2	1.257897	I:	D:
3604	3876	+	1	1.246941	I:	D:
>YA4_2231
1	258	+	1	1.239593	I:	D:
1420	2400	-	1	1.264888	I:	D:
2397	3812	-	3	1.258288	I:	D:
>YA4_2617
644	1777	+	2	1.289853	I:	D:
1788	2423	+	3	1.269212	I:	D:
2425	3720	+	1	1.273506	I:	D:
>YA4_2732
160	801	+	1	1.258344	I:	D:
798	2063	+	3	1.259563	I:	D:
2229	2915	-	3	1.290621	I:	D:
2943	3116	-	3	1.297964	I:	D:
3122	3769	-	2	1.261730	I:	D:
>YA4_3312
1	1398	+	1	1.265399	I:	D:
1400	1744	+	2	1.247763	I:	D:
1817	2074	+	2	1.257641	I:	D:
2120	2305	+	2	1.235834	I:	D:
2315	2773	+	2	1.228397	I:	D:
3065	4603	+	2	1.242677	I:	D:
4590	5330	+	3	1.234036	I:	D:
5391	7151	+	3	1.262361	I:	D:
7240	8019	+	1	1.263828	I:	D:
8034	9473	-	3	1.250344	I:	D:
9717	9974	+	3	1.246961	I:	D:
9967	11010	+	1	1.269604	I:	D:
11028	12476	+	3	1.262758	I:	D:
12479	13651	+	2	1.279258	I:	D:
13728	15017	-	3	1.310136	I:	D:
15344	16159	+	2	1.269332	I:	D:
16429	17343	+	1	1.280192	I:	D:
17679	18731	+	3	1.306802	I:	D:
18712	19263	+	1	1.244321	I:	D:
19277	21082	+	2	1.231343	I:	D:
21150	22262	+	3	1.294284	I:	D:
22277	22708	-	2	1.289611	I:	D:
22787	23329	+	2	1.266090	I:	D:
23329	24102	+	1	1.264449	I:	D:
24095	24421	+	2	1.229453	I:	D:
24470	25450	+	2	1.306253	I:	D:
25447	26757	+	1	1.295126	I:	D:
26750	27409	+	2	1.280141	I:	D:
27409	28713	+	1	1.302515	I:	D:
28950	29378	+	3	1.242421	I:	D:
29434	29925	+	1	1.273248	I:	D:
29980	30819	+	1	1.293678	I:	D:
30822	31652	+	3	1.283986	I:	D:
31745	32062	+	2	1.270119	I:	D:
32322	33404	+	3	1.275070	I:	D:
33413	34453	+	2	1.332743	I:	D:
34457	36424	+	2	1.303090	I:	D:
36421	37359	+	1	1.289991	I:	D:
37356	38654	+	3	1.290375	I:	D:
38660	39100	+	2	1.302785	I:	D:
39093	39575	+	3	1.254148	I:	D:
39782	41635	-	2	1.309182	I:	D:
41648	41830	-	2	1.300330	I:	D:
41885	43240	+	2	1.250422	I:	D:
43161	43943	+	3	1.237418	I:	D:
43943	45343	+	2	1.283029	I:	D:
45375	46820	-	3	1.238739	I:	D:
46831	47442	-	1	1.288860	I:	D:
47483	48499	-	2	1.230495	I:	D:
48481	48975	-	1	1.288856	I:	D:
48975	49562	-	3	1.272342	I:	D:
49522	50607	-	1	1.277123	I:	D:
50686	51447	+	1	1.275215	I:	D:
51935	53158	-	2	1.261794	I:	D:
53152	53958	-	1	1.256885	I:	D:
53958	54854	-	3	1.273156	I:	D:
55068	56660	-	3	1.306566	I:	D:
>YA4_3796
1	288	+	1	1.278222	I:	D:
309	704	+	3	1.218676	I:	D:
754	1503	+	1	1.289232	I:	D:
1557	2384	+	3	1.265894	I:	D:
2389	3483	-	1	1.265878	I:	D:
3617	4360	+	2	1.345511	I:	D:
4374	4841	-	3	1.315289	I:	D:
4865	6595	-	2	1.258409	I:	D:
6767	7621	+	2	1.240072	I:	D:
7637	8140	+	2	1.248908	I:	D:
8272	8406	+	1	1.293725	I:	D:
8411	8593	+	2	1.287555	I:	D:
8696	8995	+	2	1.269171	I:	D:
8997	9275	+	3	1.312017	I:	D:
9281	9565	+	2	1.268058	I:	D:
9778	9912	+	1	1.309278	I:	D:
9970	10623	+	1	1.283076	I:	D:
10666	11028	+	1	1.245611	I:	D:
11009	11350	+	2	1.166571	I:	D:
11432	12097	+	2	1.258803	I:	D:
12136	12459	+	1	1.246173	I:	D:
